ANO,REDE,nota_media_geral,nota_mediana_geral,nota_desvio_padrao,nota_media_objetivas,nota_media_cn,nota_media_ch,nota_media_lc,nota_media_mt,nota_media_redacao,n_participantes
2022,Privada,608.49,611.98,76.55,572.00,538.46,574.38,559.12,616.06,754.42,209015
2022,Pública,518.99,520.12,81.69,503.11,480.07,510.74,502.41,519.30,582.56,483893
2023,Privada,617.16,624.36,81.29,580.24,550.47,575.91,561.29,633.61,764.75,214739
2023,Pública,519.49,521.10,88.03,501.52,479.46,507.09,505.64,514.46,591.77,506684
2024,Privada,614.24,620.74,79.68,575.55,549.13,571.17,565.56,616.40,768.96,245090
2024,Pública,510.97,509.74,82.29,490.12,470.58,487.03,506.89,496.06,594.40,948338
