ANO,UF,UF_NOME,REGIAO,nota_media_geral,nota_mediana_geral,nota_desvio_padrao,nota_media_objetivas,nota_media_cn,nota_media_ch,nota_media_lc,nota_media_mt,nota_media_redacao,n_participantes,media_nacional,desvio_vs_nacional
2023,PA,Pará,Norte,510.07,503.48,89.38,489.24,475.48,500.88,493.29,487.69,593.63,153293,541.88,-31.81
2023,PB,Paraíba,Nordeste,530.53,526.80,93.64,506.64,487.99,513.82,508.58,516.61,626.24,87601,541.88,-11.35
2023,PE,Pernambuco,Nordeste,533.44,531.56,91.91,511.98,490.23,516.25,512.64,529.30,619.48,152571,541.88,-8.44
2023,PI,Piauí,Nordeste,519.18,511.64,97.79,494.96,478.49,500.15,496.71,504.81,616.07,70761,541.88,-22.70
2023,PR,Paraná,Sul,551.74,548.84,87.16,535.65,511.59,539.71,534.16,557.97,616.25,114776,541.88,9.86
2023,RJ,Rio de Janeiro,Sudeste,557.78,556.70,91.00,536.17,510.95,543.41,534.24,557.02,644.41,184500,541.88,15.90
2023,RN,Rio Grande do Norte,Nordeste,538.11,533.92,92.07,516.21,496.18,523.95,516.90,528.26,625.81,72802,541.88,-3.77
2023,RO,Rondônia,Norte,519.33,516.54,87.16,500.06,484.45,507.34,502.29,506.77,596.79,22998,541.88,-22.55
2023,RR,Roraima,Norte,529.95,525.78,91.82,514.60,495.07,524.01,518.70,520.94,591.61,6070,541.88,-11.93
2023,RS,Rio Grande do Sul,Sul,558.91,556.88,86.83,538.73,512.26,543.17,538.40,561.74,639.83,110734,541.88,17.03
2023,SC,Santa Catarina,Sul,562.35,561.84,85.29,542.43,517.48,546.29,537.64,569.56,642.23,62699,541.88,20.47
2023,SE,Sergipe,Nordeste,530.61,526.20,95.49,504.23,487.62,512.04,505.55,512.05,636.25,47188,541.88,-11.27
2023,SP,São Paulo,Sudeste,565.93,565.36,86.80,546.15,517.86,549.38,542.97,574.87,645.11,409476,541.88,24.05
2023,TO,Tocantins,Norte,519.62,514.80,92.36,498.65,482.27,505.13,501.36,506.36,603.62,21612,541.88,-22.26
2024,AC,Acre,Norte,514.55,507.44,82.97,492.53,476.02,494.01,509.84,490.33,602.67,16844,539.49,-24.94
2024,AL,Alagoas,Nordeste,515.64,510.36,93.97,494.22,475.39,489.82,506.07,505.69,601.36,62286,539.49,-23.85
2024,AM,Amazonas,Norte,499.77,493.18,85.67,485.67,471.08,485.96,502.71,483.05,556.23,52983,539.49,-39.72
2024,AP,Amapá,Norte,508.59,502.50,83.39,487.43,472.80,491.31,505.77,479.91,593.33,19991,539.49,-30.90
2024,BA,Bahia,Nordeste,518.24,511.44,88.63,495.64,476.44,495.70,510.88,499.58,608.68,257083,539.49,-21.25
2024,CE,Ceará,Nordeste,530.74,529.23,97.48,506.82,483.33,502.42,515.89,525.73,626.47,188396,539.49,-8.75
2024,DF,Distrito Federal,Centro-Oeste,563.38,558.02,92.58,539.55,517.27,540.67,548.97,551.43,658.76,52213,539.49,23.89
2024,ES,Espírito Santo,Sudeste,557.18,554.82,88.31,530.91,508.64,530.69,538.02,546.36,662.35,51855,539.49,17.69
2024,GO,Goiás,Centro-Oeste,544.16,539.11,89.52,515.31,494.74,513.73,525.21,527.66,659.54,102472,539.49,4.67
2024,MA,Maranhão,Nordeste,506.05,499.62,88.01,482.89,466.44,479.98,497.07,488.11,598.74,126113,539.49,-33.44
2024,MG,Minas Gerais,Sudeste,561.76,557.86,89.47,533.85,509.11,533.99,540.20,552.13,673.40,278491,539.49,22.27
2024,MS,Mato Grosso do Sul,Centro-Oeste,535.74,528.46,88.18,515.11,496.00,514.29,526.04,524.16,618.30,33801,539.49,-3.75
2024,MT,Mato Grosso,Centro-Oeste,530.08,524.20,88.47,508.33,490.25,507.67,520.65,514.80,617.08,43197,539.49,-9.41
2024,PA,Pará,Norte,505.99,497.98,86.85,483.98,469.32,483.93,498.10,484.64,594.05,174510,539.49,-33.50
2024,PB,Paraíba,Nordeste,531.37,525.90,92.04,504.99,484.38,504.42,516.94,514.27,636.90,93505,539.49,-8.12
2024,PE,Pernambuco,Nordeste,529.80,525.94,90.79,506.39,483.33,502.97,518.49,520.83,623.48,172012,539.49,-9.69
2024,PI,Piauí,Nordeste,520.26,510.84,92.48,492.73,472.94,487.23,504.88,505.90,630.36,79989,539.49,-19.23
2024,PR,Paraná,Sul,551.47,546.08,84.26,530.82,510.77,529.76,541.49,541.32,634.07,126329,539.49,11.98
2024,RJ,Rio de Janeiro,Sudeste,554.92,551.30,90.15,530.62,505.90,532.37,540.96,543.30,652.18,201426,539.49,15.43
2024,RN,Rio Grande do Norte,Nordeste,538.11,532.26,89.84,513.05,493.09,513.26,524.61,521.30,638.41,75454,539.49,-1.38
2024,RO,Rondônia,Norte,519.12,515.66,83.09,495.98,481.08,494.14,509.40,499.32,611.72,25469,539.49,-20.37
2024,RR,Roraima,Norte,520.20,513.29,87.77,503.97,490.80,504.68,517.05,503.44,585.16,8244,539.49,-19.29
2024,RS,Rio Grande do Sul,Sul,548.54,543.60,86.09,528.56,503.23,531.52,542.87,536.67,628.45,142313,539.49,9.05
2024,SC,Santa Catarina,Sul,563.72,562.38,82.62,539.50,517.21,540.01,547.79,553.04,660.63,65540,539.49,24.23
2024,SE,Sergipe,Nordeste,528.24,522.38,92.90,500.38,481.82,498.75,512.46,508.55,639.73,52047,539.49,-11.25
2024,SP,São Paulo,Sudeste,565.01,563.14,84.26,541.41,515.79,540.21,549.71,560.01,659.44,464409,539.49,25.52
2024,TO,Tocantins,Norte,516.88,509.40,89.02,493.22,475.64,489.06,507.00,501.22,611.52,23096,539.49,-22.61
