ANO,UF,REDE,FAIXA_NOTA,n_participantes,pct_participantes
2024,MG,Privada,600 a 700,11134,52.22
2024,MG,Privada,Acima de 700,4687,21.98
2024,MG,Pública,Até 400,2939,3.68
2024,MG,Pública,400 a 500,25130,31.48
2024,MG,Pública,500 a 600,34931,43.75
2024,MG,Pública,600 a 700,15381,19.26
2024,MG,Pública,Acima de 700,1460,1.83
2024,MS,Privada,Até 400,19,0.70
2024,MS,Privada,400 a 500,197,7.22
2024,MS,Privada,500 a 600,795,29.13
2024,MS,Privada,600 a 700,1305,47.82
2024,MS,Privada,Acima de 700,413,15.13
2024,MS,Pública,Até 400,720,6.14
2024,MS,Pública,400 a 500,4534,38.65
2024,MS,Pública,500 a 600,4957,42.25
2024,MS,Pública,600 a 700,1418,12.09
2024,MS,Pública,Acima de 700,103,0.88
2024,MT,Privada,Até 400,43,1.31
2024,MT,Privada,400 a 500,299,9.12
2024,MT,Privada,500 a 600,1092,33.31
2024,MT,Privada,600 a 700,1485,45.30
2024,MT,Privada,Acima de 700,359,10.95
2024,MT,Pública,Até 400,1281,8.58
2024,MT,Pública,400 a 500,5840,39.12
2024,MT,Pública,500 a 600,5951,39.87
2024,MT,Pública,600 a 700,1771,11.86
2024,MT,Pública,Acima de 700,84,0.56
2024,PA,Privada,Até 400,132,1.71
2024,PA,Privada,400 a 500,908,11.77
2024,PA,Privada,500 a 600,2763,35.81
2024,PA,Privada,600 a 700,3168,41.06
2024,PA,Privada,Acima de 700,744,9.64
2024,PA,Pública,Até 400,5925,12.11
2024,PA,Pública,400 a 500,22876,46.76
2024,PA,Pública,500 a 600,16113,32.93
2024,PA,Pública,600 a 700,3828,7.82
2024,PA,Pública,Acima de 700,182,0.37
2024,PB,Privada,Até 400,34,0.68
2024,PB,Privada,400 a 500,443,8.85
2024,PB,Privada,500 a 600,1642,32.81
2024,PB,Privada,600 a 700,2166,43.28
2024,PB,Privada,Acima de 700,720,14.39
2024,PB,Pública,Até 400,2627,11.12
2024,PB,Pública,400 a 500,8719,36.91
2024,PB,Pública,500 a 600,9110,38.57
2024,PB,Pública,600 a 700,2995,12.68
2024,PB,Pública,Acima de 700,170,0.72
2024,PE,Privada,Até 400,86,0.91
2024,PE,Privada,400 a 500,974,10.26
2024,PE,Privada,500 a 600,3239,34.11
2024,PE,Privada,600 a 700,3899,41.06
2024,PE,Privada,Acima de 700,1299,13.68
2024,PE,Pública,Até 400,6021,11.00
2024,PE,Pública,400 a 500,20066,36.67
2024,PE,Pública,500 a 600,21003,38.38
2024,PE,Pública,600 a 700,7194,13.15
2024,PE,Pública,Acima de 700,437,0.80
2024,PI,Privada,Até 400,25,0.68
2024,PI,Privada,400 a 500,264,7.19
2024,PI,Privada,500 a 600,1010,27.50
2024,PI,Privada,600 a 700,1625,44.24
2024,PI,Privada,Acima de 700,749,20.39
2024,PI,Pública,Até 400,2279,9.51
2024,PI,Pública,400 a 500,9939,41.47
2024,PI,Pública,500 a 600,8835,36.86
2024,PI,Pública,600 a 700,2807,11.71
2024,PI,Pública,Acima de 700,109,0.45
2024,PR,Privada,Até 400,84,0.59
2024,PR,Privada,400 a 500,1121,7.91
2024,PR,Privada,500 a 600,4757,33.55
2024,PR,Privada,600 a 700,6567,46.31
2024,PR,Privada,Acima de 700,1650,11.64
2024,PR,Pública,Até 400,1984,3.92
2024,PR,Pública,400 a 500,17395,34.33
2024,PR,Pública,500 a 600,23915,47.20
2024,PR,Pública,600 a 700,7013,13.84
2024,PR,Pública,Acima de 700,360,0.71
2024,RJ,Privada,Até 400,187,0.68
2024,RJ,Privada,400 a 500,2435,8.83
2024,RJ,Privada,500 a 600,8754,31.76
2024,RJ,Privada,600 a 700,12406,45.01
2024,RJ,Privada,Acima de 700,3783,13.72
2024,RJ,Pública,Até 400,3873,7.75
2024,RJ,Pública,400 a 500,18262,36.56
2024,RJ,Pública,500 a 600,20827,41.69
2024,RJ,Pública,600 a 700,6457,12.93
2024,RJ,Pública,Acima de 700,534,1.07
2024,RN,Privada,Até 400,50,1.17
2024,RN,Privada,400 a 500,390,9.16
2024,RN,Privada,500 a 600,1366,32.10
2024,RN,Privada,600 a 700,1887,44.34
2024,RN,Privada,Acima de 700,563,13.23
2024,RN,Pública,Até 400,1530,7.49
2024,RN,Pública,400 a 500,6979,34.16
2024,RN,Pública,500 a 600,8274,40.50
2024,RN,Pública,600 a 700,3341,16.35
2024,RN,Pública,Acima de 700,306,1.50
2024,RO,Privada,Até 400,14,1.28
2024,RO,Privada,400 a 500,163,14.91
2024,RO,Privada,500 a 600,427,39.07
2024,RO,Privada,600 a 700,419,38.33
2024,RO,Privada,Acima de 700,70,6.40
2024,RO,Pública,Até 400,848,8.78
2024,RO,Pública,400 a 500,3690,38.22
2024,RO,Pública,500 a 600,3824,39.61
2024,RO,Pública,600 a 700,1237,12.81
2024,RO,Pública,Acima de 700,55,0.57
2024,RR,Privada,Até 400,5,1.39
2024,RR,Privada,400 a 500,55,15.28
2024,RR,Privada,500 a 600,137,38.06
2024,RR,Privada,600 a 700,143,39.72
2024,RR,Privada,Acima de 700,20,5.56
2024,RR,Pública,Até 400,320,9.99
2024,RR,Pública,400 a 500,1299,40.57
2024,RR,Pública,500 a 600,1259,39.32
2024,RR,Pública,600 a 700,297,9.28
2024,RR,Pública,Acima de 700,27,0.84
2024,RS,Privada,Até 400,86,0.78
2024,RS,Privada,400 a 500,744,6.78
2024,RS,Privada,500 a 600,3231,29.44
2024,RS,Privada,600 a 700,5510,50.21
2024,RS,Privada,Acima de 700,1404,12.79
2024,RS,Pública,Até 400,1710,4.37
2024,RS,Pública,400 a 500,11287,28.82
2024,RS,Pública,500 a 600,18330,46.80
2024,RS,Pública,600 a 700,7277,18.58
2024,RS,Pública,Acima de 700,566,1.44
2024,SC,Privada,Até 400,36,0.41
2024,SC,Privada,400 a 500,488,5.59
2024,SC,Privada,500 a 600,2475,28.35
2024,SC,Privada,600 a 700,4433,50.78
2024,SC,Privada,Acima de 700,1297,14.86
2024,SC,Pública,Até 400,739,3.14
2024,SC,Pública,400 a 500,6175,26.26
2024,SC,Pública,500 a 600,12195,51.86
2024,SC,Pública,600 a 700,4248,18.07
2024,SC,Pública,Acima de 700,158,0.67
2024,SE,Privada,Até 400,30,0.96
2024,SE,Privada,400 a 500,288,9.23
2024,SE,Privada,500 a 600,1006,32.23
2024,SE,Privada,600 a 700,1331,42.65
2024,SE,Privada,Acima de 700,466,14.93
2024,SE,Pública,Até 400,1690,11.83
2024,SE,Pública,400 a 500,5582,39.08
2024,SE,Pública,500 a 600,5279,36.96
2024,SE,Pública,600 a 700,1668,11.68
2024,SE,Pública,Acima de 700,63,0.44
2024,SP,Privada,Até 400,320,0.45
2024,SP,Privada,400 a 500,5115,7.26
2024,SP,Privada,500 a 600,24322,34.52
2024,SP,Privada,600 a 700,32469,46.08
2024,SP,Privada,Acima de 700,8231,11.68
2024,SP,Pública,Até 400,5319,3.62
2024,SP,Pública,400 a 500,46839,31.88
2024,SP,Pública,500 a 600,70034,47.66
2024,SP,Pública,600 a 700,23758,16.17
2024,SP,Pública,Acima de 700,991,0.67
2024,TO,Privada,Até 400,8,0.87
2024,TO,Privada,400 a 500,71,7.71
2024,TO,Privada,500 a 600,267,28.99
2024,TO,Privada,600 a 700,458,49.73
2024,TO,Privada,Acima de 700,117,12.70
2024,TO,Pública,Até 400,969,11.28
2024,TO,Pública,400 a 500,3822,44.51
2024,TO,Pública,500 a 600,2986,34.77
2024,TO,Pública,600 a 700,779,9.07
2024,TO,Pública,Acima de 700,31,0.36
